Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
Labrador Mt.,"New York, USA",2,0,1,1125ft,1825ft,700ft,1mi,237ac,0.33,0.34,0.33,0
Lee Canyon,"Nevada, USA",0,2,0,8510ft,11289ft,860ft,0.3mi,50ac,0.2,0.6,0.2,0
Liberty,"Pennsylvania, USA",0,5,3,570ft,1190ft,620ft,1mi,100ac,0.35,0.4,0,0.25
Little Switzerland,"Wisconsin, USA",4,0,4,1069ft,1269ft,200ft,1mi,50ac,0.39,0.33,0,0.28
Lookout Pass Ski Area,"Idaho, USA",3,0,0,4500ft,5650ft,1150ft,1.5mi,0ac,0.09,0.49,0.34,0.09
Loon Mountain,"New Hampshire, USA",3,1,3,950ft,3050ft,2100ft,2.5mi,322ac,0.2,0.6,0.17,0.03
Lost Trail - Powder Mtn,"Montana, USA",5,0,0,6400ft,8200ft,1800ft,2.5mi,0ac,0.2,0.6,0.2,0
Lost Valley,"Maine, USA",2,0,0,255ft,495ft,240ft,0.3mi,45ac,0.47,0.2,0.33,0
Loveland,"Colorado, USA",2,3,1,10800ft,13010ft,2210ft,2mi,160ac,0.13,0.41,0.2,0.26
Lutsen Mountains,"Minnesota, USA",4,0,1,800ft,1688ft,825ft,2mi,231ac,0.1,0.58,0.24,0.08
Mad River Glen,"Vermont, USA",2,0,1,1600ft,3637ft,2037ft,1mi,16ac,0.2,0.35,0.45,0
Mad River Mountain,"Ohio, USA",3,1,6,1160ft,1460ft,300ft,0.5mi,144ac,0.33,0.19,0.47,0.02
Magic Mountain,"Vermont, USA",1,0,2,1350ft,2850ft,1500ft,1.6mi,95ac,0.3,0.3,0.15,0.25
Magic Mountain Ski Area,"Idaho, USA",1,0,2,6500ft,7200ft,700ft,1.5mi,0ac,0.25,0.25,0.2,0.3
Mammoth Mountain Ski Area,"California, USA",4,1,3,7953ft,11053ft,3100ft,3mi,700ac,0.25,0.4,0.2,0.15
Maple Ski Ridge,"New York, USA",1,0,1,750ft,1200ft,450ft,0.3mi,25ac,0.11,0.44,0.44,0
Marquette Mountain,"Michigan, USA",2,0,1,757ft,1357ft,600ft,0.7mi,143ac,0.15,0.5,0.35,0
Massanutten,"Virginia, USA",0,3,4,1750ft,2925ft,1110ft,0.8mi,70ac,0.21,0.57,0.21,0
Maverick Mountain,"Montana, USA",1,0,1,6500ft,8520ft,2020ft,1.3mi,0ac,0.3,0.4,0.3,0
McCauley Mountain Ski Center,"New York, USA",1,0,4,1563ft,2250ft,633ft,0.3mi,55ac,0.26,0.43,0.3,0
Meadowlark Ski Lodge,"Wyoming, USA",1,0,1,8500ft,9500ft,1000ft,1.5mi,N/A,0.3,0.3,0.2,0.2
Mission Ridge,"Washington, USA",3,0,2,4570ft,6820ft,2250ft,0.8mi,66ac,%,%,%,0
Mohawk Mountain,"Connecticut, USA",0,0,3,950ft,1600ft,650ft,1.5mi,100ac,0.3,0.5,0.2,0
Monarch Mountain,"Colorado, USA",4,1,1,10790ft,11952ft,1162ft,1mi,0ac,0.23,0.28,0.36,0.13
Montage Mountain,"Pennsylvania, USA",1,1,2,960ft,1960ft,1000ft,1.2mi,140ac,0.35,0.3,0.2,0.15
Montana Snowbowl,"Montana, USA",2,0,2,5000ft,7600ft,2600ft,1.2mi,20ac,0.2,0.4,0.4,0
Mont Ripley,"Michigan, USA",2,0,2,700ft,1140ft,440ft,0.8mi,112ac,0.21,0.29,0.42,0.08
Mountain Creek Resort,"New Jersey, USA",1,1,2,440ft,1480ft,1040ft,2mi,167ac,0.17,0.63,0.2,0
Mountain High,"California, USA",5,2,3,6600ft,8200ft,1600ft,1.6mi,275ac,0.2,0.42,0.34,0.03
Mount Bohemia,"Michigan, USA",1,0,0,600ft,1500ft,900ft,1.5mi,0ac,0,0.01,0.88,0.11
Mount Holly,"Michigan, USA",1,2,6,755ft,1105ft,350ft,0.1mi,100ac,0.3,0.5,0.2,0
Mount Kato Ski Area,"Minnesota, USA",3,5,2,300ft,540ft,240ft,1mi,55ac,0.21,0.42,0.37,0
Mount La Crosse,"Wisconsin, USA",3,0,1,594ft,1110ft,516ft,0.4mi,100ac,0.3,0.2,0.4,0.1
Mount Peter Ski Area,"New York, USA",3,0,2,750ft,1250ft,450ft,1mi,69ac,0.43,0.21,0.21,0.14
Mount Pleasant of Edinboro,"Pennsylvania, USA",0,0,1,1200ft,1540ft,340ft,0.5mi,35ac,0.22,0.56,0.22,0
Mount Snow,"Vermont, USA",4,1,5,1900ft,3600ft,1700ft,3mi,480ac,0.14,0.73,0.13,0
Mount Southington Ski Area,"Connecticut, USA",2,0,3,100ft,525ft,425ft,0.3mi,51ac,0.43,0.43,0.14,0
Mount Sunapee,"New Hampshire, USA",1,1,4,1233ft,2743ft,1510ft,0.8mi,215ac,0.26,0.49,0.25,0
Mt. Abram Ski Resort,"Maine, USA",2,0,3,1050ft,2250ft,1150ft,0.5mi,175ac,0.19,0.41,0.26,0.15
Mt. Ashland,"Oregon, USA",2,0,1,6350ft,7500ft,1150ft,1mi,0ac,0.05,0.2,0.5,0.25
Mt. Bachelor,"Oregon, USA",0,0,0,5700ft,9065ft,3365ft,4mi,20ac,0.14,0.35,0.3,0.22
Mt. Baker,"Washington, USA",0,8,0,3589ft,5089ft,1500ft,0.7mi,0ac,0.24,0.45,0,0.31
Mt. Baldy,"California, USA",4,0,0,6500ft,8600ft,2100ft,2.5mi,80ac,0.2,0.4,0.2,0.2
Mt. Brighton,"Michigan, USA",0,2,7,1100ft,1330ft,230ft,0.1mi,130ac,0.3,0.4,0.3,0
Mt. Crescent Ski Area,"Iowa, USA",1,1,0,1200ft,1500ft,300ft,0.2mi,50ac,0.18,0.45,0.27,0.09
Mt. Holiday Ski Area,"Michigan, USA",2,0,2,240ft,440ft,200ft,0.1mi,45ac,0.3,0.4,0.3,0
Mt. Hood Meadows,"Oregon, USA",6,0,2,4523ft,7300ft,2777ft,3mi,0ac,0.15,0.5,0.2,0.15
Mt. Hood Ski Bowl,"Oregon, USA",4,0,5,3600ft,5100ft,1500ft,3mi,29ac,0.2,0.4,0.25,0.15
Mt. Jefferson,"Maine, USA",0,0,3,351ft,753ft,432ft,0.3mi,0ac,0.33,0.34,0.33,0
Mt. Rose - Ski Tahoe,"Nevada, USA",0,2,2,8260ft,9700ft,1800ft,2.5mi,330ac,0.2,0.3,0.4,0.1
Mt. Shasta Ski Park,"California, USA",0,0,1,5500ft,6890ft,1435ft,1.1mi,225ac,0.2,0.55,0.25,0
Mt. Spokane Ski and Snowboard Park,"Washington, USA",5,0,0,3818ft,5889ft,2000ft,0.6mi,0ac,0.23,0.32,0.45,0
Mulligan's Hollow Ski Bowl,"Michigan, USA",0,0,5,570ft,700ft,130ft,0.2mi,10ac,0.25,0.25,0.25,0.25
Nashoba Valley,"Massachusetts, USA",1,0,7,200ft,440ft,240ft,0.5mi,52ac,0.24,0.47,0.29,0
New Hermon Mountain,"Maine, USA",1,0,2,100ft,450ft,350ft,1.9mi,70ac,0.4,0.3,0.3,0
Nordic Mountain,"Wisconsin, USA",1,0,5,872ft,1137ft,265ft,1mi,60ac,0.28,0.28,0.33,0.11
Nordic Valley Resort,"Utah, USA",2,0,2,5440ft,6400ft,960ft,0.4mi,44ac,0.3,0.4,0.3,0
Northstar California,"California, USA",0,1,7,6330ft,8610ft,2280ft,1.4mi,1500ac,0.16,0.47,0.37,0
Norway Mountain,"Michigan, USA",2,0,3,835ft,1335ft,500ft,1.4mi,186ac,0.06,0.33,0.33,0.28
Nubs Nob Ski Area,"Michigan, USA",2,3,1,911ft,1338ft,427ft,0.9mi,248ac,0.3,0.5,0.2,0
Oak Mountain,"New York, USA",0,1,2,1750ft,2400ft,650ft,1.2mi,18ac,0.45,0.27,0.18,0.09
Ober Gatlinburg Ski Resort,"Tennessee, USA",1,2,1,2700ft,3300ft,600ft,1mi,N/A,0.2,0.6,0.2,0
Okemo Mountain Resort,"Vermont, USA",0,5,7,1144ft,3344ft,2200ft,4mi,654ac,0.32,0.37,0.23,0.08
Otis Ridge Ski Area,"Massachusetts, USA",1,0,3,1300ft,1700ft,400ft,1mi,55ac,0.3,0.4,0.3,0
Pajarito Mountain Ski Area,"New Mexico, USA",3,1,1,9031ft,10441ft,1410ft,0.6mi,35ac,0.2,0.5,0.3,0
Paoli Peaks,"Indiana, USA",1,1,2,600ft,900ft,300ft,0.4mi,65ac,0.47,0.33,0.13,0.07
Park City,"Park City, USA",4,6,5,6800ft,10000ft,3200ft,3.5mi,500ac,0.08,0.42,0.32,0.18
Pats Peak,"New Hampshire, USA",2,0,5,690ft,1460ft,770ft,1.5mi,115ac,0.5,0.21,0.11,0.18
Pebble Creek Ski Area,"Idaho, USA",0,0,0,6360ft,8560ft,2200ft,1.3mi,30ac,0.12,0.35,0.43,0.1
Peek'n Peak,"New York, USA",0,0,2,1400ft,1800ft,400ft,2.4mi,110ac,0.3,0.45,0.15,0.1
Perfect North Slopes,"Indiana, USA",0,2,6,400ft,800ft,400ft,1mi,100ac,0.2,0.5,0.2,0.1
Pico Mountain,"Vermont, USA",2,0,1,2000ft,3967ft,1967ft,4mi,156ac,0.18,0.46,0.33,0.03
Pine Knob Ski Resort,"Michigan, USA",0,0,6,1009ft,1308ft,300ft,1mi,80ac,0.2,0.2,0.4,0.2
Pine Mountain,"Michigan, USA",2,0,2,1150ft,1650ft,500ft,0.5mi,160ac,0.2,0.55,0.25,0
Plattekill Mountain,"New York, USA",1,0,2,2400ft,3500ft,1100ft,2mi,75ac,0.2,0.4,0.2,0.2
Pomerelle Mountain Resort,"Idaho, USA",1,0,1,8000ft,9000ft,1000ft,1.5mi,50ac,0.4,0.4,0.2,0
Powderhorn,"Colorado, USA",2,0,1,8200ft,9850ft,1650ft,1.5mi,21ac,0.2,0.5,0.2,0.1
